material_id,formula,predicted_bandgap,period,electronegativity,covalent_radius,valence_electrons,ionization_energy,electron_affinity,atomic_volume,bond_length,bond_angle
8533936,Sr4 Ce2 Nb2 O12,3.045,3.3,2.5999999999999996,102.5,4.7,2.109000000000001,1.0219999999999998,15.146568805080983,2.6127974192303496,63.217638647133676
8533939,Sr4 La2 Nb2 O12,3.061,3.3,2.5999999999999996,102.5,4.7,2.109000000000001,1.0219999999999998,15.105493015661954,2.612438090545163,63.218896436008954
8533942,Sr4 Tm2 Sb2 O12,3.891,3.3,2.678,102.5,4.7,2.129000000000001,1.172,14.04717729812387,2.648467610950737,66.8060434519134
8533948,Tm2 Nb2 Pb4 O12,2.794,3.5,2.795,92.5,5.1,2.1430000000000007,1.2449999999999997,14.683976060996619,2.60786025211127,65.71232090463378
8533977,Nb16 Ag16 O48,0.91,3.2,2.9120000000000053,85.0,6.8,2.159999999999998,1.3199999999999992,14.25661763139982,2.5762698071331007,72.5723420891816
8534020,Ca4 Gd2 Sb2 O12,3.847,3.1,2.639,97.5,4.7,2.129000000000001,1.04623,13.322210065772884,2.545939316452997,66.68247201445938
8534025,Ca4 Er2 Sb2 O12,4.019,3.1,2.678,97.5,4.7,2.129000000000001,1.0562,12.925952907517754,2.525886682995828,65.99342250964865
8534028,Ca4 Tb2 Sb2 O12,3.917,3.1,2.6599999999999997,97.5,4.7,2.129000000000001,1.172,13.255815100755033,2.543014429910117,66.67186236825418
8534037,La2 Cd4 Sb2 O12,1.992,3.3,2.795,87.5,6.7,2.2030000000000007,0.9570000000000001,13.743350175174395,2.568947792994417,66.57656904381179
8534043,La2 Fe4 Sb2 O12,2.205,3.1,2.795,87.5,5.9,2.163000000000001,1.097,12.554726836681315,2.495163691130738,68.30667370355162
8534053,La2 Mn4 Sb2 O12,2.068,3.1,2.795,87.5,5.7,2.163000000000001,0.9970000000000001,12.944583436999968,2.525292940487091,64.70743840010779
8534056,La2 Yb4 Sb2 O12,3.702,3.5,2.681,97.5,4.7,2.129000000000001,1.097,13.613708902368614,2.5576234101523134,67.6516747514552
8534062,La2 Hg4 Sb2 O12,0.929,3.5,2.795,87.5,6.7,2.245000000000001,0.9970000000000001,14.127225248102793,2.5872381675248475,66.60233228147055
8534105,Na2 Sm4 Sb2 O12,4.169,3.2,2.639,95.0,4.6,2.113000000000001,1.1333999999999997,12.935318916989772,2.5177034908632914,68.20584923945052
8534123,Sm2 Nb2 Pb4 O12,2.207,3.5,2.756,92.5,5.1,2.1430000000000007,1.1141999999999999,14.745172891976448,2.629139417232581,65.63207966014883
8534143,La4 Nd2 Bi2 O12,2.718,3.6,2.5999999999999996,97.5,4.7,2.109000000000001,1.3189999999999997,16.252503461733667,2.761031050600473,66.49955544699012
8534146,Sr4 Nd2 As2 O12,3.651,3.2,2.639,100.0,4.7,2.129000000000001,1.1709999999999998,13.705836850770973,2.5314812654288352,66.44372225282282
8534149,Li2 Gd4 Sb2 O12,4.398,3.1,2.639,92.5,4.6,2.113000000000001,1.14346,11.937327507104293,2.4703087747858463,67.1230359828191
8534152,Li2 Tl4 Sb2 O12,0.962,3.1,2.795,87.5,4.8,2.113000000000001,1.2449999999999997,12.124249580682509,2.4869768583612384,67.85388666418761
8534155,Li2 Dy4 Sb2 O12,4.312,3.1,2.7169999999999996,92.5,4.6,2.113000000000001,1.2449999999999997,11.71826049005342,2.457920535511451,67.14168481994056
8534160,Li2 Er4 Sb2 O12,4.399,3.1,2.7169999999999996,92.5,4.6,2.113000000000001,1.1633999999999998,11.53377016484027,2.448893238032987,67.43772507638951
8534163,Li2 Ho4 Sb2 O12,4.343,3.1,2.7169999999999996,92.5,4.6,2.113000000000001,1.1685999999999999,11.642298530526253,2.454116757886768,66.91590161134107
8534167,Li2 Tb4 Sb2 O12,4.512,3.1,2.681,92.5,4.6,2.113000000000001,1.3949999999999996,11.816052523500392,2.463250715879746,67.16320088267636
8534171,Li2 Y4 Sb2 O12,4.462,2.9,2.7169999999999996,92.5,4.8,2.113000000000001,1.097,11.795290006757323,2.4622660375201493,66.90880130477588
8534178,Li2 Lu4 Sb2 O12,4.346,3.1,2.639,92.5,4.8,2.081000000000001,1.097,11.372179932307727,2.4352931735790024,68.13351162882924
8534205,K2 Rb4 Er2 F12,7.157,3.2,2.678,112.5,4.7,2.158,2.4672000000000005,18.015888588078038,2.792679021486104,66.02666392242463
8534209,K2 Rb4 Nd2 F12,7.023,3.2,2.6390000000000002,112.5,4.7,2.158,2.6570000000000005,18.640478594329046,2.851077589738135,67.54483318064061
8534212,K2 Rb4 Pr2 F12,7.121,3.2,2.6390000000000002,112.5,4.7,2.142,2.5080000000000005,18.697440171358632,2.8559145691699754,67.55929244934566
8534215,K2 Rb4 Sm2 F12,7.156,3.2,2.6390000000000002,112.5,4.7,2.158,2.4522000000000004,18.452804723933166,2.834849712057372,67.53331817032465
8534218,Rb4 Y2 Tl2 F12,5.311,3.3,2.795,107.5,5.0,2.1879999999999997,2.434,18.739701552741373,2.8165590228289967,65.85522943194722
8534221,K2 Rb4 La2 F12,6.939,3.2,2.6390000000000002,112.5,4.7,2.158,2.5080000000000005,18.81720320851341,2.8676417827493017,67.55179809847698
8534224,K2 Rb4 Tl2 F12,4.165,3.2,2.717,110.0,4.8,2.158,2.5080000000000005,18.118191477822407,2.8085615015190015,65.71528796960604
8534227,K2 Y2 In4 F12,3.15,3.1,2.912,97.5,5.2,2.218,2.2860000000000005,18.004285671384416,2.8111219900666264,64.35768110067806
8534232,K2 Li4 Y2 F12,6.935,2.5,2.7560000000000002,92.5,4.8,2.186,2.434,13.118844340100958,2.5710016303726007,65.12070614423399
8534235,K2 Na4 Y2 F12,6.723,2.7,2.7560000000000002,97.5,4.8,2.186,2.434,15.195895055681362,2.6658927852790373,64.04322403574714
8534247,Rb4 Li2 Y2 F12,7.839,2.9,2.717,105.0,4.8,2.1719999999999997,2.434,14.589992063850437,2.6946192543378076,64.64036841094608
8534250,Rb4 Na2 Y2 F12,7.379,3.0,2.717,107.5,4.8,2.1719999999999997,2.434,16.285961241563548,2.787164805200141,65.74686480464518
8534294,La4 Dy2 Ir2 O12,1.919,3.6,2.678,95.0,5.1,2.129000000000001,1.2449999999999997,13.72570700179034,2.586878326793312,67.09459421317915
8534340,K2 Rb4 Ga2 F12,6.702,3.0,2.717,107.5,4.8,2.158,2.5080000000000005,15.999108029708745,2.65669119740259,66.29750895789016
8534343,K2 Rb4 In2 F12,5.945,3.1,2.717,110.0,4.8,2.158,2.434,17.297801034266612,2.7528405263470104,66.39097506856942
8534346,K2 Rb4 Ir2 F12,2.597,3.2,2.7560000000000002,107.5,5.4,2.195,2.5830000000000006,16.833548679860343,2.722903000119532,66.31723155377057
8534352,Rb4 Sc2 Tl2 F12,5.298,3.2,2.795,105.0,5.0,2.1879999999999997,2.434,17.588849115041377,2.726639675419821,65.73280246765165
8534358,Cs2 Rb4 Sc2 F12,7.345,3.2,2.678,115.0,4.8,2.158,2.434,18.106385070655598,2.732930607954056,65.65190129729012
8534361,K2 Rb4 Ti2 F12,1.771,3.0,2.678,107.5,4.9,2.175,2.434,16.719022845534223,2.7017577620286892,67.27298629722856
8534367,K2 Sc2 In4 F12,3.641,3.0,2.912,95.0,5.2,2.218,2.2860000000000005,16.910643626310325,2.721584944500296,65.58533638394796
8534370,K2 Li4 Sc2 F12,7.125,2.4,2.7560000000000002,90.0,4.8,2.186,2.434,12.196116384257296,2.4968832460924464,65.58169259421913
8534373,K2 Na4 Sc2 F12,7.346,2.6,2.7560000000000002,95.0,4.8,2.186,2.434,13.62267854688605,2.56166730302498,67.61026781910259
8534382,Cs4 Ge4 Cl12,1.181,3.8,2.444,135.0,5.2,2.0660000000000007,2.6580000000000004,30.08266397671659,3.463485555178431,66.82812254215709
8534388,K2 Rb4 Mo2 F12,2.236,3.1,2.7560000000000002,110.0,5.1,2.175,2.5080000000000005,17.1146901751578,2.7427895283738115,66.33346196290415
8534391,K2 Rb4 Rh2 F12,2.325,3.1,2.7939999999999996,107.5,5.4,2.175,2.5830000000000006,16.712472486354052,2.7092399224841874,66.32898070501308
8534394,Rb4 Na2 Sc2 F12,7.27,2.9,2.717,105.0,4.8,2.1719999999999997,2.434,14.970203678153357,2.708603736924936,67.67585446425198
8534397,Rb4 Sc2 Ag2 F12,3.405,3.1,2.834,102.5,5.8,2.205,2.5090000000000003,16.477738767984558,2.718116148636555,67.07659653919151
8534406,Eu4 Fe2 Sb2 O12,2.007,3.3,2.779,92.5,5.3,2.146000000000001,1.1709999999999998,11.82308132743759,2.487035132573183,67.08986976272583
8534409,Ca4 Lu2 Sb2 O12,4.114,3.1,2.639,97.5,4.8,2.113000000000001,1.023,12.63385998350261,2.5112898985581324,68.25350889892371
8534415,Sm4 Sc2 Ir2 O12,1.988,3.4,2.678,92.5,5.2,2.129000000000001,1.0594,12.359450795871062,2.5073391823204823,66.35066862935219
8534421,Nd4 Sc2 Ir2 O12,1.987,3.4,2.678,92.5,5.2,2.129000000000001,1.4689999999999996,12.586236655665573,2.5239965006663034,66.80265410159659
